timestamp_utc,run_id,script,stage,split,experiment_name,dataset_root,train_split,val_dataset_root,val_split,model_name,encoder_name,encoder_weights,pretrained_model_name,img_size,batch_size,epochs,lr,num_workers,seed,augmentation_profile,foreground_crop_prob,foreground_crop_min_scale,foreground_crop_max_scale,aux_negative_root,aux_negative_split,aux_negative_repeat,aux_negative_augmentation_profile,loss_name,pos_weight,tversky_alpha,tversky_beta,tversky_gamma,checkpoint_path,init_checkpoint_path,best_epoch,dataset_size,eval_threshold,postprocess_min_area,postprocess_max_fill_ratio,postprocess_min_aspect_ratio,postprocess_max_components,metric_loss,metric_iou,metric_f1,metric_precision,metric_recall,command
2026-04-25T21:41:59Z,2026-04-25T21:41:59Z_76774,test.py,test,test,segformer_b1_holdout_raw_rerun,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,,63,,,,,,0.6285755393050966,0.3222117830836584,0.467665968433259,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --experiment-name segformer_b1_holdout_raw_rerun
2026-04-25T21:42:08Z,2026-04-25T21:42:08Z_76960,test.py,test,test,segformer_b1_holdout_deploy_rerun,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,,63,,,,,,0.6285755393050966,0.3165571878826807,0.4469058144660223,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --eval-threshold 0.9 --postprocess-min-area 20 --postprocess-max-fill-ratio 0.85 --experiment-name segformer_b1_holdout_deploy_rerun
2026-04-25T21:42:18Z,2026-04-25T21:42:18Z_77139,test.py,test,test,segformer_uav_holdout_raw_rerun,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360.pth,,,63,,,,,,0.9582920736736722,0.1442013288301135,0.247641549696998,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_plain_360.pth --batch-size 8 --img-size 360 --experiment-name segformer_uav_holdout_raw_rerun
2026-04-25T21:42:28Z,2026-04-25T21:42:28Z_77318,test.py,test,test,segformer_uav_holdout_deploy_rerun,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360.pth,,,63,,,,,,0.9582920736736722,0.178377974601019,0.2899922633927966,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_plain_360.pth --batch-size 8 --img-size 360 --eval-threshold 0.9 --postprocess-min-area 20 --postprocess-max-fill-ratio 0.85 --experiment-name segformer_uav_holdout_deploy_rerun
2026-04-25T21:57:37Z,2026-04-25T21:57:37Z_80468,test.py,test,val,segformer_b1_val_raw_thr05,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,,63,,,,,,0.6247108938202025,0.3418833174639278,0.4812089606883034,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split val --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --eval-threshold 0.5 --experiment-name segformer_b1_val_raw_thr05
2026-04-25T21:57:42Z,2026-04-25T21:57:42Z_80657,test.py,test,val,segformer_b1_val_raw_thr06,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,,63,,,,,,0.6247108938202025,0.35161759042077595,0.4896883588461649,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split val --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --eval-threshold 0.6 --experiment-name segformer_b1_val_raw_thr06
2026-04-25T21:57:46Z,2026-04-25T21:57:46Z_80834,test.py,test,val,segformer_b1_val_raw_thr07,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,,63,,,,,,0.6247108938202025,0.35696756106520455,0.4936704285561092,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split val --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --eval-threshold 0.7 --experiment-name segformer_b1_val_raw_thr07
2026-04-25T21:57:51Z,2026-04-25T21:57:51Z_81002,test.py,test,val,segformer_b1_val_raw_thr08,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,,63,,,,,,0.6247108938202025,0.35536961545354673,0.49016408364303293,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split val --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --eval-threshold 0.8 --experiment-name segformer_b1_val_raw_thr08
2026-04-25T21:57:55Z,2026-04-25T21:57:55Z_81184,test.py,test,val,segformer_b1_val_raw_thr09,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,,63,,,,,,0.6247108938202025,0.33508761535843257,0.46779779688988454,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split val --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --eval-threshold 0.9 --experiment-name segformer_b1_val_raw_thr09
2026-04-25T23:01:52Z,2026-04-25T23:01:52Z_92796,test.py,test,test,segformer_b1_holdout_raw_thr070,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,,63,,,,,,0.6285756973047105,0.33248588300886606,0.4727343869587732,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --eval-threshold 0.7 --experiment-name segformer_b1_holdout_raw_thr070
